anio,provincia,departamento,sector,ambito,nivel,matricula_inicial,promovidos,no_promovidos,salidos_sin_pase,ultimo_anio_inscripto,tasa_repitencia,tasa_abandono,tasa_promocion_ef
2024,Buenos Aires,MARCOS PAZ,Privado,Urbano,Primaria,1531,1451,9,0,1514,0.59,0.0,95.84
2024,Buenos Aires,MARCOS PAZ,Privado,Urbano,Secundaria,1232,990,43,0,1219,3.49,0.0,81.21
2024,Buenos Aires,MERCEDES,Estatal,Rural,Primaria,666,617,27,1,646,4.05,0.15,95.51
2024,Buenos Aires,MERCEDES,Estatal,Rural,Secundaria,423,194,54,2,405,12.77,0.47,47.9
2024,Buenos Aires,MERCEDES,Estatal,Urbano,Primaria,3782,3395,214,0,3742,5.66,0.0,90.73
2024,Buenos Aires,MERCEDES,Estatal,Urbano,Secundaria,3926,1798,1174,2,3828,29.9,0.05,46.97
2024,Buenos Aires,MERCEDES,Privado,Urbano,Primaria,2475,2435,3,2,2466,0.12,0.08,98.74
2024,Buenos Aires,MERCEDES,Privado,Urbano,Secundaria,2342,1889,66,1,2320,2.82,0.04,81.42
2024,Buenos Aires,MERLO,Estatal,Urbano,Primaria,46920,44262,2282,20,47491,4.86,0.04,93.2
2024,Buenos Aires,MERLO,Estatal,Urbano,Secundaria,44978,26476,6438,115,44618,14.31,0.26,59.34
2024,Buenos Aires,MERLO,Privado,Urbano,Primaria,16315,15948,71,2,16235,0.44,0.01,98.23
2024,Buenos Aires,MERLO,Privado,Urbano,Secundaria,12550,8444,644,5,12472,5.13,0.04,67.7
2024,Buenos Aires,MONTE,Estatal,Rural,Primaria,233,237,3,0,245,1.29,0.0,96.73
2024,Buenos Aires,MONTE,Estatal,Rural,Secundaria,149,132,4,0,142,2.68,0.0,92.96
2024,Buenos Aires,MONTE,Estatal,Urbano,Primaria,1477,1457,11,0,1468,0.74,0.0,99.25
2024,Buenos Aires,MONTE,Estatal,Urbano,Secundaria,1653,1059,303,11,1641,18.33,0.67,64.53
2024,Buenos Aires,MONTE,Privado,Urbano,Primaria,775,760,0,0,773,0.0,0.0,98.32
2024,Buenos Aires,MONTE,Privado,Urbano,Secundaria,797,610,38,0,797,4.77,0.0,76.54
2024,Buenos Aires,MONTE HERMOSO,Estatal,Urbano,Primaria,761,649,34,2,743,4.47,0.26,87.35
2024,Buenos Aires,MONTE HERMOSO,Estatal,Urbano,Secundaria,827,469,124,2,843,14.99,0.24,55.63
2024,Buenos Aires,MORENO,Estatal,Urbano,Primaria,52345,46786,2583,188,52050,4.93,0.36,89.89
2024,Buenos Aires,MORENO,Estatal,Urbano,Secundaria,43230,28593,5060,156,43037,11.7,0.36,66.44
2024,Buenos Aires,MORENO,Privado,Urbano,Primaria,18187,17612,82,1,17982,0.45,0.01,97.94
2024,Buenos Aires,MORENO,Privado,Urbano,Secundaria,13723,9717,466,22,13640,3.4,0.16,71.24
2024,Buenos Aires,MORON,Estatal,Urbano,Primaria,13467,12721,367,8,13420,2.73,0.06,94.79
2024,Buenos Aires,MORON,Estatal,Urbano,Secundaria,18171,11313,2357,82,17880,12.97,0.45,63.27
2024,Buenos Aires,MORON,Privado,Urbano,Primaria,15396,15100,67,6,15348,0.44,0.04,98.38
2024,Buenos Aires,MORON,Privado,Urbano,Secundaria,14830,9685,882,10,14720,5.95,0.07,65.79
2024,Buenos Aires,NAVARRO,Estatal,Rural,Primaria,290,284,6,0,290,2.07,0.0,97.93
2024,Buenos Aires,NAVARRO,Estatal,Rural,Secundaria,312,164,61,0,290,19.55,0.0,56.55
